link	run_acc_sra	sampid_assigned_for_bioinf	pop	identifiers_biosamp	infraspecies_biosamp	read_type_sra	total_number_reads_sra	total_reads_written_to_final_fastq
PRJNA473221_Bombus-vosnesenskii	SRR7222126	JDL594-CA09-2013--Bv	dummy	null	null	SINGLE	1436002	1436002
PRJNA473221_Bombus-vosnesenskii	SRR7222135	JDL1054-CA06-2015--Bv	dummy	null	null	SINGLE	1396266	1396266
PRJNA473221_Bombus-vosnesenskii	SRR7222136	JDL1052-CA06-2015--Bv	dummy	null	null	SINGLE	1619158	1619158
PRJNA473221_Bombus-vosnesenskii	SRR7222147	JDL799-WA04-2014--Bv	dummy	null	null	SINGLE	1897865	1897865
PRJNA473221_Bombus-vosnesenskii	SRR7222148	JDL1264-CA15-2015-S-Bv	dummy	null	null	SINGLE	2307362	2307362
PRJNA473221_Bombus-vosnesenskii	SRR7222149	JDL1137-CA11-2015--Bv	dummy	null	null	SINGLE	1762673	1762673
PRJNA473221_Bombus-vosnesenskii	SRR7222150	JDL1136-CA11-2015--Bv	dummy	null	null	SINGLE	1287945	1287945
PRJNA473221_Bombus-vosnesenskii	SRR7222151	JDL932-CA01-2015-S-Bv	dummy	null	null	SINGLE	1372530	1372530
PRJNA473221_Bombus-vosnesenskii	SRR7222152	JDL930-CA01-2015-S-Bv	dummy	null	null	SINGLE	1396109	1396109
PRJNA473221_Bombus-vosnesenskii	SRR7222153	JDL929-CA01-2015-S-Bv	dummy	null	null	SINGLE	1703455	1703455
PRJNA473221_Bombus-vosnesenskii	SRR7222154	JDL928-CA01-2015-S-Bv	dummy	null	null	SINGLE	1275463	1275463
PRJNA473221_Bombus-vosnesenskii	SRR7222155	JDL946-CA02-2015-S-Bv	dummy	null	null	SINGLE	1171265	1171265
PRJNA473221_Bombus-vosnesenskii	SRR7222156	JDL945-CA02-2015-S-Bv	dummy	null	null	SINGLE	1297191	1297191
PRJNA473221_Bombus-vosnesenskii	SRR7222157	JDL934-CA01-2015-S-Bv	dummy	null	null	SINGLE	1079192	1079192
PRJNA473221_Bombus-vosnesenskii	SRR7222158	JDL933-CA01-2015-S-Bv	dummy	null	null	SINGLE	1858891	1858891
PRJNA473221_Bombus-vosnesenskii	SRR7222159	JDL949-CA02-2015-S-Bv	dummy	null	null	SINGLE	1037168	1037168
PRJNA473221_Bombus-vosnesenskii	SRR7222160	JDL948-CA02-2015-S-Bv	dummy	null	null	SINGLE	1057993	1057993
PRJNA473221_Bombus-vosnesenskii	SRR7222162	JDL1142-CA11-2015--Bv	dummy	null	null	SINGLE	915535	915535
PRJNA473221_Bombus-vosnesenskii	SRR7222163	JDL1138-CA11-2015--Bv	dummy	null	null	SINGLE	1411675	1411675
PRJNA473221_Bombus-vosnesenskii	SRR7222164	JDL1140-CA11-2015--Bv	dummy	null	null	SINGLE	1299937	1299937
PRJNA473221_Bombus-vosnesenskii	SRR7222165	JDL624-CA11-2013--Bv	dummy	null	null	SINGLE	1759169	1759169
PRJNA473221_Bombus-vosnesenskii	SRR7222166	JDL803-WA04-2014--Bv	dummy	null	null	SINGLE	4065491	4065491
PRJNA473221_Bombus-vosnesenskii	SRR7222168	JDL1154-CA12-2015--Bv	dummy	null	null	SINGLE	2709805	2709805
PRJNA473221_Bombus-vosnesenskii	SRR7222175	JDL796-WA03-2014--Bv	dummy	null	null	SINGLE	1979971	1979971
PRJNA473221_Bombus-vosnesenskii	SRR7222188	JDL622-CA11-2013--Bv	dummy	null	null	SINGLE	1908488	1908488
PRJNA473221_Bombus-vosnesenskii	SRR7222190	JDL2870-WA06-2016--Bv	dummy	null	null	SINGLE	1288596	1288596
PRJNA473221_Bombus-vosnesenskii	SRR7222191	JDL2882-WA07-2016--Bv	dummy	null	null	SINGLE	1248078	1248078
PRJNA473221_Bombus-vosnesenskii	SRR7222192	JDL286-CA01-2012--Bv	dummy	null	null	SINGLE	927618	927618
PRJNA473221_Bombus-vosnesenskii	SRR7222193	JDL2880-WA07-2016--Bv	dummy	null	null	SINGLE	1530874	1530874
PRJNA473221_Bombus-vosnesenskii	SRR7222194	JDL2877-WA06-2016--Bv	dummy	null	null	SINGLE	1874022	1874022
PRJNA473221_Bombus-vosnesenskii	SRR7222195	JDL2876-WA06-2016--Bv	dummy	null	null	SINGLE	1426854	1426854
PRJNA473221_Bombus-vosnesenskii	SRR7222196	JDL2875-WA06-2016--Bv	dummy	null	null	SINGLE	1923701	1923701
PRJNA473221_Bombus-vosnesenskii	SRR7222197	JDL2874-WA06-2016--Bv	dummy	null	null	SINGLE	1567651	1567651
PRJNA473221_Bombus-vosnesenskii	SRR7222198	JDL285-CA01-2012--Bv	dummy	null	null	SINGLE	2217512	2217512
PRJNA473221_Bombus-vosnesenskii	SRR7222199	JDL2872-WA06-2016--Bv	dummy	null	null	SINGLE	1907969	1907969
PRJNA473221_Bombus-vosnesenskii	SRR7222201	JDL1203-CA13-2015-S-Bv	dummy	null	null	SINGLE	1513965	1513965
PRJNA473221_Bombus-vosnesenskii	SRR7222202	JDL794-WA03-2014--Bv	dummy	null	null	SINGLE	2107126	2107126
PRJNA473221_Bombus-vosnesenskii	SRR7222203	JDL614-CA10-2013--Bv	dummy	null	null	SINGLE	2281980	2281980
PRJNA473221_Bombus-vosnesenskii	SRR7222204	JDL613-CA10-2013--Bv	dummy	null	null	SINGLE	1476170	1476170
PRJNA473221_Bombus-vosnesenskii	SRR7222205	JDL416-OR12-2012--Bv	dummy	null	null	SINGLE	1253858	1253858
PRJNA473221_Bombus-vosnesenskii	SRR7222206	JDL606-CA10-2013--Bv	dummy	null	null	SINGLE	1841657	1841657
PRJNA473221_Bombus-vosnesenskii	SRR7222208	JDL415-OR12-2012--Bv	dummy	null	null	SINGLE	2300086	2300086
PRJNA473221_Bombus-vosnesenskii	SRR7222211	JDL604-CA09-2013--Bv	dummy	null	null	SINGLE	2324965	2324965
PRJNA473221_Bombus-vosnesenskii	SRR7222217	JDL282-CA01-2012--Bv	dummy	null	null	SINGLE	1386088	1386088
PRJNA473221_Bombus-vosnesenskii	SRR7222222	JDL326-CA04-2012--Bv	dummy	null	null	SINGLE	1059585	1059585
PRJNA473221_Bombus-vosnesenskii	SRR7222223	JDL660-CA13-2013--Bv	dummy	null	null	SINGLE	1411698	1411698
PRJNA473221_Bombus-vosnesenskii	SRR7222242	JDL642-CA12-2013--Bv	dummy	null	null	SINGLE	1129878	1129878
PRJNA473221_Bombus-vosnesenskii	SRR7222243	JDL643-CA12-2013--Bv	dummy	null	null	SINGLE	1568455	1568455
PRJNA473221_Bombus-vosnesenskii	SRR7222244	JDL316-CA03-2012--Bv	dummy	null	null	SINGLE	2139122	2139122
